timestamp,user_id,article_id,status_code
2025-04-04 11:12:03,user_3115,article_144,200
2025-12-15 20:52:57,user_1376,article_137,200
2025-05-08 14:26:19,user_1714,article_129,200
2025-02-05 13:42:35,user_942,article_116,200
2025-06-28 00:00:37,,article_132,200
2025-05-12 17:39:33,user_1479,article_125,200
2025-03-31 23:51:16,user_4324,article_108,200
2025-07-07 22:57:10,user_2301,article_133,200
2025-04-18 16:18:01,user_1616,article_137,200
2025-01-03 10:28:44,,article_138,200
2025-07-10 09:36:43,user_1396,article_136,200
2025-01-06 12:11:11,,article_101,200
2025-08-25 13:13:01,user_2100,article_147,404
2025-06-20 01:45:42,user_285,article_147,200
2025-11-19 00:46:39,user_648,article_138,200
2025-08-14 00:12:45,user_2008,article_147,200
2025-04-22 23:51:07,user_3634,article_139,200
2025-12-22 21:21:48,user_4368,article_104,200
2025-08-20 01:23:22,user_1747,article_116,200
2025-02-20 00:04:12,user_2005,article_149,200
2025-01-12 02:46:24,user_1642,article_112,500
2025-06-10 19:04:49,,article_137,200
2025-11-08 08:27:43,user_3652,article_107,200
2025-05-27 10:38:39,user_3158,article_118,404
2025-08-08 15:00:58,,article_138,200
2025-06-17 15:05:15,user_4934,article_114,404
2025-08-20 13:31:10,,article_108,200
2025-09-09 16:52:59,user_2799,article_127,200
2025-02-05 04:45:14,user_384,article_136,200
2025-12-11 04:00:41,user_4401,article_147,200
2025-01-27 07:30:21,user_3710,article_116,500
2025-01-23 15:05:54,user_3965,article_116,200
2025-08-19 01:26:23,user_3946,article_141,200
2025-12-10 05:01:38,user_2642,article_112,200
2025-11-01 22:25:33,user_700,article_102,200
2025-04-21 14:42:41,user_916,article_111,404
2025-03-23 05:28:47,,article_112,200
2025-02-06 18:12:50,user_3171,article_127,404
2025-03-17 07:27:34,user_2685,article_110,500
2025-02-25 11:31:36,user_4314,article_122,200
2025-02-22 16:16:26,user_253,article_128,200
2025-03-09 16:09:34,user_1774,article_142,200
2025-08-02 09:44:18,user_1566,article_133,200
2025-11-02 18:03:19,user_716,article_123,200
2025-07-16 01:54:22,user_2450,article_136,404
2025-01-22 19:30:47,user_4445,article_131,200
2025-05-03 19:07:17,user_3738,article_149,200
2025-07-15 05:55:55,user_1113,article_116,200
2025-07-01 09:25:08,user_3966,article_101,404
2025-07-09 00:15:53,user_2194,article_135,404
